Attendance,QuizScore,AssignmentCompletion,TimeOnTask,EngagementScore,Performance
95,92,98,9.5,94,High
88,85,90,8.2,86,High
91,89,94,8.8,90,High
85,82,88,7.5,84,High
97,95,100,10.0,96,High
90,87,92,8.5,88,High
83,80,86,7.2,82,High
92,91,95,9.0,93,High
87,84,89,7.8,85,High
94,93,97,9.3,95,High
89,86,91,8.4,87,High
86,83,87,7.6,83,High
96,94,99,9.8,97,High
84,81,85,7.4,81,High
93,90,96,9.1,92,High
88,88,93,8.7,89,High
82,79,84,7.0,80,High
90,88,92,8.6,90,High
85,84,90,7.9,86,High
91,92,95,9.2,94,High
78,72,80,6.5,72,Medium
75,70,78,6.0,68,Medium
80,76,82,6.8,75,Medium
72,68,75,5.8,65,Medium
77,74,79,6.3,70,Medium
82,78,85,7.0,78,Medium
70,66,73,5.5,63,Medium
79,75,81,6.7,74,Medium
74,71,77,6.1,69,Medium
81,77,84,6.9,76,Medium
76,73,80,6.4,71,Medium
69,65,72,5.3,62,Medium
83,79,86,7.1,79,Medium
73,69,76,5.9,66,Medium
78,76,82,6.6,73,Medium
71,67,74,5.6,64,Medium
80,74,83,6.8,77,Medium
75,72,78,6.2,70,Medium
68,64,70,5.1,60,Medium
82,80,87,7.2,80,Medium
55,48,60,3.5,45,Low
50,42,55,3.0,40,Low
58,52,63,4.0,48,Low
45,38,50,2.5,35,Low
60,55,65,4.3,52,Low
52,45,58,3.2,42,Low
48,40,52,2.8,37,Low
62,57,68,4.5,55,Low
54,49,61,3.7,46,Low
57,50,64,4.1,50,Low
43,35,48,2.2,30,Low
59,53,66,4.2,53,Low
51,44,57,3.1,41,Low
47,39,51,2.7,36,Low
63,58,70,4.7,56,Low
56,47,62,3.8,44,Low
49,43,54,3.0,39,Low
61,56,67,4.4,54,Low
46,37,49,2.4,33,Low
53,46,59,3.4,43,Low
